review,food,ambiance,service,noise,average_rating,cat_rating,bin_rating
"The food was great, the service was excellent, but the restaurant was ugly, and there was no one there! Hope business picks up for these folks.",Positive,Negative,Positive,Positive,3.0,3.0,Positive
"The food was great, the service was poor but the restaurant was lovely, but there was no one there! Hope business picks up for these folks.",Positive,Positive,Negative,Positive,3.0,3.0,Positive
"The food was not great, but the service was excellent and the restaurant was lovely, but there was no one there! Hope business picks up for these folks.",Negative,Positive,Positive,Positive,3.2,3.0,Positive
"The food was great, and the restaurant was lovely, but there was no one there! Hope business picks up for these folks.",Positive,Positive,unknown,Positive,4.4,4.0,Positive
"The food was great, but there was no one there! Hope business picks up for these folks.",Positive,unknown,Positive,Positive,4.4,4.0,Positive
"The food was great, the service was excellent and the restaurant was lovely! Hope business picks up for these folks.",Positive,Positive,Positive,unknown,5.0,5.0,Positive
"The service was excellent and the restaurant was lovely, but there was no one there! Hope business picks up for these folks.",unknown,Positive,Positive,Positive,4.2,4.0,Positive
We had a bad experience with his fish being undercooked the first time and not smelling fresh the second time. Service was OK but generally low. Food was very average.,Negative,unknown,Negative,unknown,2.6,3.0,Negative
We had a bad experience with his fish being undercooked the first time and not smelling fresh the second time. Service was OK but generally low. Restaurant was way too noisy. Food was very average.,Negative,unknown,Negative,Negative,2.2,2.0,Negative
We had a bad experience with his fish being undercooked the first time and not smelling fresh the second time. Service was great. Food was very average.,Negative,unknown,Positive,unknown,2.2,2.0,Negative
We had a good experience with his fish being perfect the first time and smelling fresh as well. Service was great. Food was very good.,Negative,unknown,Negative,unknown,4.6,5.0,Positive
We had a good experience with his fish being perfectly cooked the first time and not smelling fishy the second time. Service was OK but generally low. Food was very good.,Positive,unknown,Negative,unknown,3.4,3.0,Positive
We had a bad experience with his fish being undercooked the first time and not smelling fresh the second time. Food was very average.,Negative,unknown,unknown,unknown,1.6,2.0,Negative
"We had a bad experience with his fish being undercooked the first time and not smelling fresh the second time. Service was OK but generally low. Food was very average, but at least the noise levels were reasonable.",Negative,unknown,Negative,Positive,2.0,2.0,Negative
We had a bad experience. Service was OK but generally low.,unknown,unknown,Negative,unknown,1.8,2.0,Negative
hmmm - it is more than energetic - the place is REALLY noisy. The menu is unremarkable and the food is adequate but uninspired. The hostess was frosty at best.,Negative,Negative,Negative,Negative,1.6,2.0,Negative
hmmm - It's pretty low key and quiet. The menu is unremarkable and the food is adequate but uninspired. The hostess was frosty at best.,Negative,Negative,Negative,Positive,2.8,3.0,Negative
"hmmm - it is more than energetic - the place is REALLY noisy. The ambiance itself was great, however.The menu is unremarkable and the food is adequate but uninspired. The hostess was frosty at best.",Negative,Positive,Negative,Negative,1.8,2.0,Negative
hmmm - it is more than energetic - the place is REALLY noisy. The menu is pretty remarkable and the food is great. The hostess was frosty at best.,Positive,Negative,Negative,Negative,3.2,3.0,Positive
hmmm - it is more than energetic - the place is REALLY noisy. The menu is unremarkable and the food is adequate but uninspired. The hostess was friendly,Negative,Negative,Positive,Negative,2.8,3.0,Negative
The menu is unremarkable and the food is adequate but uninspired. The hostess was frosty at best.,Negative,unknown,Negative,Negative,2.0,2.0,Negative
hmmm - it is more than energetic - the place is REALLY noisy.  The hostess was frosty at best.,unknown,Negative,Negative,Negative,1.8,2.0,Negative
hmmm - it is more than energetic - the place is REALLY noisy. The menu is unremarkable and the food is adequate but uninspired.,Negative,Negative,unknown,Negative,2.0,2.0,Negative
hmmm - it is more than energetic. The menu is unremarkable and the food is adequate but uninspired. The hostess was frosty at best.,Negative,Negative,Negative,unknown,2.0,2.0,Negative
I was very satisfied with the food but particularly pleased with the service delivered by our waiter Ramsey (sp?). He was very attentive and accommodating and really made our dining experience.,Positive,unknown,Positive,unknown,4.4,4.0,Positive
I was not very satisfied with the food but particularly disgusted with the service delivered by our waiter Ramsey (sp?). He was very attentive and accommodating but really ruined our dining experience.,Positive,unknown,Positive,unknown,2.4,2.0,Negative
I was very satisfied with the food and atmosphere but particularly pleased with the service delivered by our waiter Ramsey (sp?). He was very attentive and accommodating and really made our dining experience.,Positive,Positive,Positive,unknown,4.0,4.0,Positive
I was very satisfied with the food but not pleased with the service delivered by our waiter Ramsey (sp?). He wasn't very attentive and ruined our dining experience.,Positive,unknown,Negative,unknown,2.8,3.0,Negative
I was very satisfied with the food but particularly pleased with the service delivered by our waiter Ramsey (sp?). He was very attentive and accommodating and really made our dining experience. The atmosphere is also lovely.,Positive,Positive,Positive,unknown,4.4,4.0,Positive
I wasn't satisfied with the food but was particularly pleased with the service delivered by our waiter Ramsey (sp?). He was very attentive and accommodating and really made our dining experience.,Negative,unknown,Positive,unknown,3.4,3.0,Positive
I was particularly pleased with the service delivered by our waiter Ramsey (sp?). He was very attentive and accommodating and really made our dining experience.,unknown,unknown,Positive,unknown,4.6,5.0,Positive
I was very satisfied with the food.,Positive,unknown,unknown,unknown,3.8,4.0,Positive
OK--nothing special and kind but inept service--- and why are there no vegetables ?,Negative,unknown,Negative,unknown,2.2,2.0,Negative
OK- inept service--- but the food more than made up for it as it was all delicious.,Positive,unknown,Negative,unknown,3.4,3.0,Positive
OK--nothing special and kind but inept service--- and why are there no vegetables ? Only thing I liked was the volume.,Negative,unknown,Negative,Positive,2.6,3.0,Negative
OK--nothing special but kind helpful service--- and why are there no vegetables ?,Negative,unknown,Positive,unknown,2.8,3.0,Negative
OK--the ambiance was nothing special and bland with inept service--- and why are there no vegetables ?,Negative,Negative,Negative,unknown,2.2,2.0,Negative
OK--nothing special and kind but inept service---,Negative,unknown,Negative,unknown,2.4,2.0,Negative
OK--nothing special and kind but inept service--- and why are there no vegetables ? And it was so loud. Terrible experience.,Negative,unknown,Negative,Negative,1.6,2.0,Negative
OK--nothing special and kind but inept service--- and why are there no vegetables ? Our table had a beautiful view though,Negative,Positive,Negative,unknown,3.0,3.0,Positive
OK--nothing special and kind but inept service.,Negative,unknown,Negative,unknown,2.2,2.0,Negative
"The restaurant is very LOUD, food OK, service OK, wine list less than average. We probably won't go back.",Negative,Negative,Negative,Negative,2.0,2.0,Negative
"The restaurant is very LOUD, food OK, service great, wine list less than average. We probably won't go back.",Negative,Negative,Positive,Negative,3.0,3.0,Positive
"The restaurant is very LOUD, food better than average, service OK, wine list less than average. We probably won't go back.",Positive,Negative,Negative,Negative,2.6,3.0,Negative
"The restaurant is very quiet, food OK, service OK, wine list less than average. We probably won't go back.",Negative,unknown,Negative,Negative,2.8,3.0,Negative
"The restaurant is very quiet, food OK, service OK, wine list less than average. We probably won't go back.",Negative,Negative,Negative,Positive,2.8,3.0,Negative
"Food OK, service OK, wine list less than average. We probably won't go back.",Negative,Negative,Negative,unknown,2.4,2.0,Negative
"The restaurant is very LOUD, food OK,  wine list less than average. We probably won't go back.",Negative,Negative,unknown,Negative,2.0,2.0,Negative
"The restaurant is very LOUD, service OK, wine list less than average. We probably won't go back.",unknown,Negative,Negative,Negative,2.0,2.0,Negative
The menu selection is not good. Half of the menu was not available. The food didn't taste great. I won't be back.,Negative,unknown,unknown,unknown,1.2,1.0,Negative
The menu selection is not good. Half of the menu was not available and it was too loud. The food didn't taste great. I won't be back.,Negative,unknown,unknown,Negative,1.6,2.0,Negative
The menu selection is not good. Half of the menu was not available. Ambiance was dreary. The food didn't taste great. I won't be back.,Negative,Negative,unknown,unknown,1.0,1.0,Negative
The menu selection is not good. Half of the menu was not available. But The food tasted great. I won't be back.,Positive,unknown,unknown,unknown,2.2,2.0,Negative
The menu selection is not good. Half of the menu was not available. The food didn't taste great. The service was awful too.  I won't be back.,Negative,unknown,Negative,unknown,1.0,1.0,Negative
"The best part was the attentive service. Otherwise, the menu selection is not good. Half of the menu was not available. The food didn't taste great. I won't be back.",Negative,unknown,Positive,unknown,2.2,2.0,Negative
The menu selection is not good. Half of the menu was not available. I won't be back.,Negative,unknown,unknown,unknown,1.8,2.0,Negative
The menu selection is not good. Half of the menu was not available. The food didn't taste great. I disliked the weird ambiance. I won't be back.,Negative,Negative,unknown,unknown,1.2,1.0,Negative
The menu selection is not good. Half of the menu was not available. The food didn't taste great. I won't be back,Negative,unknown,unknown,unknown,1.8,2.0,Negative
"VERY NICE ATMOSPHERE, BUT THE FOOD WAS OVER PRICED AND NOT SO GOOD. WE LEFT STILL CRAVING A GOOD MEAL AND UPSET AT HOW MUCH WE SPENT ON A MEAL THAT WAS NOT WORTH THE MONEY!",Negative,Positive,unknown,unknown,1.8,2.0,Negative
"LOUSY ATMOSPHERE, AND THE FOOD WAS OVER PRICED AND NOT SO GOOD. WE LEFT STILL CRAVING A GOOD MEAL AND UPSET AT HOW MUCH WE SPENT ON A MEAL THAT WAS NOT WORTH THE MONEY!",Negative,Negative,unknown,unknown,1.8,2.0,Negative
"VERY NICE ATMOSPHERE AND SERVICE, BUT THE FOOD WAS OVER PRICED AND NOT SO GOOD. WE LEFT STILL CRAVING A GOOD MEAL AND UPSET AT HOW MUCH WE SPENT ON A MEAL THAT WAS NOT WORTH THE MONEY!",Negative,Positive,Positive,unknown,2.0,2.0,Negative
"VERY NICE ATMOSPHERE, BUT LOUD AND THE FOOD WAS OVER PRICED AND NOT SO GOOD. WE LEFT STILL CRAVING A GOOD MEAL AND UPSET AT HOW MUCH WE SPENT ON A MEAL THAT WAS NOT WORTH THE MONEY!",Negative,Positive,unknown,Negative,3.0,3.0,Positive
"VERY NICE ATMOSPHERE, THE FOOD WAS GOOD BUT OVERPRICED. WE LEFT STILL CRAVING A GOOD MEAL AND UPSET AT HOW MUCH WE SPENT ON A MEAL THAT WAS NOT WORTH THE MONEY!",Positive,Positive,unknown,unknown,2.4,2.0,Negative
THE FOOD WAS OVER PRICED AND NOT SO GOOD. WE LEFT STILL CRAVING A GOOD MEAL AND UPSET AT HOW MUCH WE SPENT ON A MEAL THAT WAS NOT WORTH THE MONEY!,Negative,unknown,unknown,unknown,1.2,1.0,Negative
"VERY NICE ATMOSPHERE, BUT THE FOOD WAS OVER PRICED AND NOT SO GOOD, AND IT TOOK OUR WAITER FOREVER TO SERVE US. WE LEFT STILL CRAVING A GOOD MEAL AND UPSET AT HOW MUCH WE SPENT ON A MEAL THAT WAS NOT WORTH THE MONEY!",Negative,Positive,Negative,unknown,2.2,2.0,Negative
"VERY NICE ATMOSPHERE, VERY LOW NOISE, BUT THE FOOD WAS OVER PRICED AND NOT SO GOOD. WE LEFT STILL CRAVING A GOOD MEAL AND UPSET AT HOW MUCH WE SPENT ON A MEAL THAT WAS NOT WORTH THE MONEY!",Negative,Positive,unknown,Positive,3.0,3.0,Positive
VERY NICE ATMOSPHERE. WE LEFT STILL CRAVING A GOOD MEAL AND UPSET AT HOW MUCH WE SPENT ON A MEAL THAT WAS NOT WORTH THE MONEY!,Negative,Positive,unknown,unknown,2.6,3.0,Negative
As always a great meal with a great view and exceptional wait staff. They were very accomodating with my special dietary requests.,Positive,Positive,Positive,unknown,5.0,5.0,Positive
As always a great meal with a great view and bad wait staff. They were not very accommodating with my special dietary requests.,Positive,Positive,Positive,unknown,3.2,3.0,Positive
As always a great meal with a great view but a bit noisy and exceptional wait staff. They were very accomodating with my special dietary requests.,Positive,Positive,Positive,Negative,4.2,4.0,Positive
"As always a great meal with a great view, but unhelpful wait staff. They were not very accomodating with my special dietary requests.",Positive,Positive,Negative,unknown,3.2,3.0,Positive
"As always, a suspect meal but exceptional wait staff. They were very accomodating with my special dietary requests but food needs to better.",Negative,Positive,Positive,unknown,3.0,3.0,Positive
As always a great meal and exceptional wait staff. They were very accommodating with my special dietary requests.,Positive,unknown,Positive,unknown,5.0,5.0,Positive
As always a great meal with a great view and exceptional wait staff. They were very accomodating with my special dietary requests. The soft music set the tone for a romantic evening.,Positive,Positive,Positive,Positive,4.2,4.0,Positive
As always a great meal with a great view.,Positive,Positive,unknown,unknown,4.6,5.0,Positive
As always a great view and exceptional wait staff. They were very accomodating with my special dietary requests.,Positive,Positive,Positive,unknown,4.8,5.0,Positive
"Drink server wasn't very friendly. Waiter seemed stressed and forgot the appetizer, which was brought with our meals. Entrees were luke warm and seemed to be sitting too long under heat lamps.",Negative,unknown,Negative,unknown,1.2,1.0,Negative
"Drink server was very friendly. Waiter seemed at ease and the appetizer, before our meals. Entrees were luke warm and seemed to be sitting too long under heat lamps.",Negative,unknown,Positive,unknown,3.2,3.0,Positive
"Drink server wasn't very friendly. Waiter seemed stressed and forgot the appetizer, which was brought with our meals. Entrees were great and seemed to be hot still from heat lamps.",Positive,unknown,Negative,unknown,2.8,3.0,Negative
"Drink server wasn't very friendly. Waiter seemed stressed and forgot the appetizer, which was brought with our meals. Entrees were luke warm and seemed to be sitting too long under heat lamps. Too loud to hold a conversation.",Negative,unknown,Negative,Negative,2.4,2.0,Negative
"Drink server wasn't very friendly. Waiter seemed stressed and forgot the appetizer, which was brought with our meals. Music was way too loud. Entrees were luke warm and seemed to be sitting too long under heat lamps.",Negative,unknown,Negative,unknown,1.6,2.0,Negative
"Drink server wasn't very friendly. Waiter seemed stressed and forgot the appetizer, which was brought with our meals.",unknown,unknown,Negative,unknown,3.0,3.0,Positive
"Drink server wasn't very friendly. Waiter seemed stressed and forgot the appetizer, which was brought with our meals. Entrees were luke warm and seemed to be sitting too long under heat lamps. Nice quiet place",Negative,unknown,Negative,Positive,2.8,3.0,Negative
Entrees were luke warm and seemed to be sitting too long under heat lamps.,Negative,unknown,unknown,unknown,1.4,1.0,Negative
Food was fair-to-good. Waiter would be rated lower. Parking was a pain.,Positive,unknown,Negative,unknown,2.8,3.0,Negative
Food was fair-to poor. Waiter would be rated lower. Parking was a pain.,Negative,unknown,Negative,unknown,2.4,2.0,Negative
Food was fair-to-good. Waiter would be rated highly. Parking was a pain.,Positive,unknown,Positive,unknown,3.0,3.0,Positive
Food was fair-to-good. Waiter would be rated lower and too much noise. Parking was a pain.,Positive,unknown,Negative,Negative,2.4,2.0,Negative
Food was terrible. Waiter would be rated lower. Parking was a pain.,Positive,Negative,Negative,unknown,1.4,1.0,Negative
Food was fair-to-good.,Positive,unknown,unknown,unknown,3.6,4.0,Positive
Food was fair-to-good. Waiter would be rated lower.,Positive,unknown,Negative,unknown,3.0,3.0,Positive
Food was fair-to-good. Waiter would be rated lower. Parking was a pain. The only positive was that it was nice and quiet inside.,Positive,unknown,Negative,Positive,2.8,3.0,Negative
Waiter would be rated lower. Parking was a pain.,unknown,unknown,Negative,unknown,2.2,2.0,Negative
"Good food, but very spotty service makes me leery of returning to Harvard Sq. location.",Positive,unknown,Negative,unknown,3.0,3.0,Positive
"Good food and good atmosphere, but very spotty service makes me leery of returning to Harvard Sq. location.",Positive,Positive,Negative,unknown,3.4,3.0,Positive
Good food and impeccable service makes me eager about returning to Harvard Sq. location.,Positive,unknown,Positive,unknown,4.8,5.0,Positive
"Good food, but very spotty service and loud noise makes me leery of returning to Harvard Sq. location.",Positive,unknown,Negative,Negative,2.6,3.0,Negative
"Low quality food, and very spotty service makes me leery of returning to Harvard Sq. location.",Negative,unknown,Negative,unknown,1.4,1.0,Negative
"Good food, and service makes me happy to return to Harvard Sq. location.",Positive,unknown,Negative,unknown,4.6,5.0,Positive
"Good food, but very spotty service makes me leery of returning to Harvard Sq. location, especially since it is so noisy.",Positive,unknown,Negative,Negative,3.2,3.0,Positive
very spotty service makes me leery of returning to Harvard Sq. location.,unknown,unknown,Negative,unknown,2.0,2.0,Negative
"Pleasant, beautifully decorated place for lunch. service can be good or slow especially for late lunch.",unknown,Positive,unknown,unknown,3.8,4.0,Positive
"Pleasant, beautifully decorated place for lunch. Food can be ok or slow especially for late lunch.",Negative,Positive,unknown,unknown,3.8,4.0,Positive
"Pleasant, beautifully decorated place for lunch. service can be good or slow especially for late lunch. The only complaint i have is that the music is a bit too loud.",unknown,Positive,unknown,Negative,3.2,3.0,Positive
"Pleasant, beautifully decorated place for lunch. service can be good or slow especially for late lunch. Very loud dining room on busy days.",unknown,Positive,unknown,Negative,3.4,3.0,Positive
"Pleasant, beautifully decorated place for lunch. service can be slow especially for late lunch.",unknown,Positive,Negative,unknown,3.6,4.0,Positive
"Unpleasant, gaudily decorated place for lunch. service can be good or slow especially for late lunch.",unknown,Negative,unknown,unknown,2.4,2.0,Negative
"Pleasant, beautifully decorated place for lunch. service can be good or slow especially for late lunch but the food is worth the wait.",Positive,Positive,unknown,unknown,4.2,4.0,Positive
"Pleasant, beautifully decorated place for lunch. service was very good especially for late lunch.",unknown,Positive,Positive,unknown,4.4,4.0,Positive
place for lunch. service can be good or slow especially for late lunch.,unknown,unknown,unknown,unknown,3.0,3.0,Positive
6 people with 6 different orders. All the food was perfect. Waiter was well versed on all selections and very helpful. Great bread pudding.,Positive,unknown,Positive,unknown,4.6,5.0,Positive
6 people with 6 different orders. All the food was cold. Waiter was well versed on all selections and very helpful. dry bread pudding.,Negative,unknown,Positive,unknown,2.2,2.0,Negative
6 people with 6 different orders. All the food was perfect. Waiter was well versed on all selections and very helpful. Great bread pudding and lively atmosphere.,Positive,Positive,Positive,unknown,4.8,5.0,Positive
6 people with 6 different orders. All the food was perfect. Waiter was well versed on all selections and very helpful. Great bread pudding but the ambiance was lousy,Positive,Negative,Positive,unknown,3.8,4.0,Positive
6 people with 6 different orders. All the food was perfect. Waiter was well versed on all selections and very helpful. Great bread pudding. Sound was great,Positive,unknown,Positive,Positive,4.4,4.0,Positive
6 people with 8 different orders. All the food was perfect. Waiter didn't know anything.  Great bread pudding.,Positive,unknown,Negative,unknown,4.0,4.0,Positive
6 people with 6 different orders. All the food was perfect. Great bread pudding.,Positive,unknown,unknown,unknown,5.0,5.0,Positive
"6 people with 6 different orders. All the food was perfect. Waiter was well versed on all selections and very helpful. Great bread pudding. It was kind of loud, though, which made it hard to hear all the conversations going on at once.",Positive,unknown,Positive,Negative,3.4,3.0,Positive
6 people with 6 different orders. Waiter was well versed on all selections and very helpful.,unknown,unknown,Positive,unknown,4.4,4.0,Positive
"Great food -- surprisingly nice ambiance and decor, considering it is below ground level.",Positive,Positive,unknown,unknown,4.4,4.0,Positive
"Great food -- surprisingly great ambiance and decor, considering it is below ground level.",Positive,Positive,unknown,unknown,4.8,5.0,Positive
"Great food -- surprisingly nice ambiance and decor, considering it is below ground level. Staff was so friendly",Positive,Positive,Positive,unknown,4.2,4.0,Positive
"Great food -- surprisingly nice ambiance and decor, considering it is below ground level. The service could be better though.",Positive,Positive,Negative,unknown,3.8,4.0,Positive
"Great food, but surprisingly bad ambiance and decor, considering it is below ground level.",Positive,Negative,unknown,unknown,3.0,3.0,Positive
"Poor food -- surprisingly nice ambiance and decor, considering it is below ground level.",Negative,Positive,unknown,unknown,2.4,2.0,Negative
Great food -- the restaurant is below ground level.,Positive,unknown,unknown,unknown,3.8,4.0,Positive
"surprisingly nice ambiance and decor, considering it is below ground level.",unknown,Positive,unknown,unknown,4.0,4.0,Positive
"Food was adequate, and fairly unimaginative, with very small portions. Prices were very expensive, and it was only lunch.",Negative,unknown,unknown,unknown,2.0,2.0,Negative
"Food was adequate, and fairly unimaginative, with very small portions. Prices were very expensive, and it was only lunch. It was also loud and unbearable.",Negative,unknown,unknown,Negative,2.8,3.0,Negative
"Food was adequate, and fairly unimaginative, with very small portions. Prices were very expensive, and it was only lunch. Really neat building with great lighting.",Negative,Positive,unknown,unknown,2.2,2.0,Negative
"Food was adequate, and fairly unimaginative, with very small portions. Prices were very expensive, and it was only lunch. The service was atrocious",Negative,unknown,Negative,unknown,2.0,2.0,Negative
"Food was tasty, and fairly unimaginative, with very small portions. Prices were very expensive, and it was only lunch.",unknown,unknown,unknown,unknown,2.2,2.0,Negative
"Food was adequate, and fairly unimaginative, with very small portions. Prices were very expensive, and it was only lunch. It was also too loud to think.",Negative,unknown,unknown,Negative,1.8,2.0,Negative
"Food was adequate, and fairly unimaginative, with very small portions. Prices were very expensive, and it was only lunch. The waitress was quick to get to our table.",Negative,unknown,Positive,unknown,2.6,3.0,Negative
"Food was adequate, and fairly unimaginative, with very small portions. Prices were very expensive, and it was only lunch.The decor was loud and distracting",Negative,Negative,unknown,unknown,2.0,2.0,Negative
"WOW… best Italian I've had in a while, AWESOME desserts, very good service and fun wait staff… LOVED IT!",Positive,unknown,Positive,unknown,4.8,5.0,Positive
"Some of the worst Italian I've had in a while, mediocre desserts, but very good service and fun wait staff.",Negative,unknown,Positive,unknown,2.4,2.0,Negative
"WOW… best Italian I've had in a while, AWESOME desserts, but poor service. Fun wait staff though… LOVED IT!",Positive,unknown,Negative,unknown,4.2,4.0,Positive
"WOW… best Italian I've had in a while, AWESOME desserts, very good service and fun wait staff, quiet atmosphere… LOVED IT!",Positive,unknown,Positive,Positive,5.0,5.0,Positive
"WOW… best Italian I've had in a while, AWESOME desserts, very good service but please do something about the annoying ambiance.",Positive,Negative,Positive,unknown,3.8,4.0,Positive
"WOW… best Italian I've had in a while, AWESOME desserts,  and fun wait staff… LOVED IT!",Positive,unknown,Positive,unknown,5.0,5.0,Positive
"WOW… best Italian I've had in a while, AWESOME desserts, very good service and fun wait staff plus ambiance was perfect… LOVED IT!",Positive,Positive,Positive,unknown,5.0,5.0,Positive
"WOW… best Italian I've had in a while, AWESOME desserts, very good service and fun wait staff… LOVED IT, but they need to keep the noise level down!",Positive,unknown,Positive,Negative,4.2,4.0,Positive
WOW… very good service and fun wait staff… LOVED IT!,unknown,unknown,Positive,unknown,5.0,5.0,Positive
Love this sustainably conscious restaurant!!,unknown,unknown,unknown,unknown,5.0,5.0,Positive
Love this sustainably conscious restaurant with great service!!,unknown,unknown,Positive,unknown,4.6,5.0,Positive
Love this sustainably conscious restaurant!! Although the interior could be improved to not look so boring.,unknown,Negative,unknown,unknown,3.0,3.0,Positive
Love this sustainably conscious restaurant!! Great food!!!,Positive,unknown,unknown,unknown,4.8,5.0,Positive
"Love this sustainably conscious restaurant!! However, they really need to train their help better to improve service.",unknown,unknown,Negative,unknown,4.0,4.0,Positive
"Love this sustainably conscious restaurant, despite this, it was hard to hear inside of the restaurant.",unknown,unknown,unknown,Negative,3.2,3.0,Positive
Love this sustainably conscious restaurant even if it is too noisy to be heard!!,unknown,unknown,unknown,Negative,4.2,4.0,Positive
Love this sustainably conscious restaurant with wonderful ambiance!!,unknown,Positive,unknown,unknown,5.0,5.0,Positive
Love this sustainably conscious restaurant!! The food was unfortunately disappointing last time.,Negative,unknown,unknown,unknown,3.0,3.0,Positive
"Food was good, disappointed by the service.",Positive,unknown,Negative,unknown,3.0,3.0,Positive
"Food was bad, disappointed by the service.",Negative,unknown,Negative,unknown,1.4,1.0,Negative
Food was good and so was the service.,Positive,unknown,Positive,unknown,4.0,4.0,Positive
"Food was good, disappointed by a lot of noise.",Positive,unknown,Negative,Negative,3.0,3.0,Positive
"Food was good, disappointed by the service and ambiance",Positive,Negative,Negative,unknown,2.6,3.0,Negative
Disappointed by the service.,unknown,unknown,Negative,unknown,1.8,2.0,Negative
"Food was good, disappointed by the service. But the ambiance were great",Positive,Positive,Negative,unknown,3.0,3.0,Positive
"Food was good, noise level was good, disappointed by the service.",Positive,unknown,Negative,Positive,3.2,3.0,Positive
Food was good.,Positive,unknown,unknown,unknown,4.0,4.0,Positive
"This was my first experience with the brunch and it was fantastic! The food, the service and the atmosphere were exceptional.",Positive,Positive,Positive,unknown,4.4,4.0,Positive
"This was my first experience with the brunch and it was fantastic! The food and the service were exceptional, but the atmosphere was lacking.",Positive,Negative,Positive,unknown,4.0,4.0,Positive
"This was my first experience with the brunch and it was fantastic! The food, and the atmosphere were exceptional. Service needs work.",Positive,Positive,Negative,unknown,4.2,4.0,Positive
"This was my first experience with the brunch and it was fantastic! The food, the service and the atmosphere were exceptional. The noise level was perfect and the soft music in the background really fit with the place.",Positive,Positive,Positive,Positive,4.8,5.0,Positive
"This was my first experience with the brunch and it was not that great. The food was poor, but the service and the atmosphere were exceptional.",Negative,Positive,Positive,unknown,2.2,2.0,Negative
This was my first experience with the brunch and it was fantastic! The food and the atmosphere were exceptional.,Positive,Positive,unknown,unknown,5.0,5.0,Positive
"This was my first experience with the brunch and it was fantastic! The food, the service and the atmosphere were exceptional. Too loud though.",Positive,Positive,Positive,Negative,4.4,4.0,Positive
"This was my first experience with the brunch and it was fantastic! The food, the service were exceptional.",Positive,unknown,Positive,unknown,4.8,5.0,Positive
This was my first experience with the brunch and it was fantastic! The service and the atmosphere were exceptional.,Positive,Positive,Positive,unknown,5.0,5.0,Positive
The service was substandard. The restaurant had changed the numbering system on the tables and our order was miss-delivered three times and we did not rate any apology from restaurant management.,unknown,unknown,Negative,unknown,1.8,2.0,Negative
The service was good. The restaurant had changed the numbering system on the tables and our order was miss-delivered three times and we did not rate any apology from restaurant management.,unknown,unknown,Positive,unknown,2.4,2.0,Negative
The service was substandard. The restaurant had changed the numbering system on the tables and our order was miss-delivered three times and we did not rate any apology from restaurant management. Also it was way to loud.,unknown,unknown,Negative,Negative,1.2,1.0,Negative
"The service was substandard. The restaurant had changed the numbering system on the tables and our order was miss-delivered three times and we did not rate any apology from restaurant management. That said, the food was delicious.",Positive,unknown,Negative,unknown,2.2,2.0,Negative
The service was substandard. The restaurant had changed the numbering system on the tables and our order was miss-delivered three times and we did not rate any apology from restaurant management. The ambiance was mostly amazing and had plenty of space within the restaurant,unknown,Positive,Negative,unknown,2.8,3.0,Negative
The service was substandard. Hard to hear the people you are eating with due to noise. The restaurant had changed the numbering system on the tables and our order was miss-delivered three times and we did not rate any apology from restaurant management.,unknown,unknown,Negative,Negative,1.0,1.0,Negative
The service was substandard. The restaurant had changed the numbering system on the tables and our order was miss-delivered three times and we did not rate any apology from restaurant management. It was too dark and dreary inside too.,unknown,Negative,Negative,unknown,1.4,1.0,Negative
The service was substandard. The restaurant had changed the numbering system on the tables and our order was miss-delivered three times and we did not rate any apology from restaurant management. When we finally got the food is was subpar and cold.,Negative,unknown,Negative,unknown,1.4,1.0,Negative
\The restaurant had changed the numbering system on the tables and our order was miss-delivered three times and we did not rate any apology from restaurant management.,unknown,unknown,Negative,unknown,1.4,1.0,Negative
"Outstanding restaurant....food, service....ambiance..........Best in Boston!",Positive,Positive,Positive,unknown,4.2,4.0,Positive
"Awful restaurant....food, service....ambiance..........Worst in Boston!",Negative,Positive,Positive,unknown,1.0,1.0,Negative
"Horrible restaurant....food, service....ambiance..........Worst in Boston!",Positive,Negative,Positive,unknown,1.2,1.0,Negative
"Outstanding restaurant....food, ambiance..........Best in Boston! Pretty bad service though. They were very slow and inattentive.",Positive,Positive,Negative,unknown,3.8,4.0,Positive
"Outstanding restaurant....food, service....ambiance..........would be best in Boston...except for the noise!",Positive,Positive,Positive,Negative,4.2,4.0,Positive
Outstanding restaurant... service....ambiance..........Best in Boston!,unknown,Positive,Positive,unknown,5.0,5.0,Positive
Outstanding restaurant....food and ambiance..........Best in Boston!,Positive,Positive,unknown,unknown,5.0,5.0,Positive
"Outstanding restaurant....food, service.....Best in Boston!",Positive,unknown,Positive,unknown,5.0,5.0,Positive
"Outstanding restaurant....food, service....ambiance..........Best in Boston!  Tasteful music at just the right level.",Positive,Positive,Positive,Positive,4.6,5.0,Positive
"A group of 8 met for Valentine's dinner but expectations were not met. Service was poor, drinks watered down and entrees were sub-standard. Overall a very disappointing experience.",Negative,unknown,Negative,unknown,1.8,2.0,Negative
"A group of 8 met for Valentine's dinner and expectations were met. Service was great, drinks flavorful and entrees were incredible. Overall a very lovelyexperience.",Negative,unknown,Positive,unknown,5.0,5.0,Positive
"A group of 8 met for Valentine's dinner but expectations were not met. Service was obnoxious, drinks watered down and entrees were sub-standard. Overall a very disappointing experience.",Negative,unknown,Negative,unknown,1.2,1.0,Negative
"A group of 8 met for Valentine's dinner but expectations were not met. Service was poor, drinks watered down and entrees were sub-standard. Overall a very disappointing experience.The ambiance was nice though.",Negative,Positive,Negative,unknown,1.8,2.0,Negative
